change_id,product_id,change_type,request_date,approved_flag
ECN-001,PROD-029,Material Change,2026-05-08,False
ECN-002,PROD-018,Supplier Change,2026-03-11,True
ECN-003,PROD-004,Cost Reduction,2026-03-17,True
ECN-004,PROD-048,Compliance Update,2024-09-04,False
ECN-005,PROD-071,Dimension Change,2025-01-16,True
ECN-006,PROD-012,Material Change,2026-04-22,True
ECN-007,PROD-092,Compliance Update,2024-08-16,True
ECN-008,PROD-099,Performance Enhancement,2026-04-09,False
ECN-009,PROD-010,Dimension Change,2025-03-25,False
ECN-010,PROD-083,Material Change,2025-05-30,True
ECN-011,PROD-088,Cost Reduction,2025-02-15,True
ECN-012,PROD-100,Dimension Change,2024-09-12,True
ECN-013,PROD-017,Performance Enhancement,2025-01-02,True
ECN-014,PROD-008,Material Change,2026-07-02,True
ECN-015,PROD-039,Dimension Change,2025-10-06,True
ECN-016,PROD-091,Supplier Change,2026-06-03,True
ECN-017,PROD-067,Quality Improvement,2026-01-31,False
ECN-018,PROD-033,Supplier Change,2025-03-24,True
ECN-019,PROD-071,Quality Improvement,2025-01-04,True
ECN-020,PROD-039,Material Change,2025-12-14,True
ECN-021,PROD-022,Dimension Change,2025-08-14,True
ECN-022,PROD-080,Cost Reduction,2025-05-26,False
ECN-023,PROD-073,Design Update,2026-06-10,False
ECN-024,PROD-004,Material Change,2026-07-03,True
ECN-025,PROD-083,Quality Improvement,2025-12-04,True
ECN-026,PROD-099,Performance Enhancement,2025-07-14,True
ECN-027,PROD-004,Compliance Update,2024-11-10,False
ECN-028,PROD-070,Quality Improvement,2025-02-13,True
ECN-029,PROD-039,Compliance Update,2024-11-08,True
ECN-030,PROD-088,Performance Enhancement,2025-01-30,True
ECN-031,PROD-010,Design Update,2026-02-21,True
ECN-032,PROD-054,Compliance Update,2025-10-02,True
ECN-033,PROD-044,Dimension Change,2025-09-14,True
ECN-034,PROD-092,Cost Reduction,2025-02-12,True
ECN-035,PROD-045,Performance Enhancement,2026-02-23,True
ECN-036,PROD-048,Material Change,2025-10-20,True
ECN-037,PROD-060,Material Change,2025-06-20,True
ECN-038,PROD-032,Dimension Change,2026-06-20,True
ECN-039,PROD-038,Performance Enhancement,2025-10-19,False
ECN-040,PROD-054,Supplier Change,2025-05-29,False
ECN-041,PROD-021,Cost Reduction,2025-04-30,False
ECN-042,PROD-093,Cost Reduction,2025-01-09,True
ECN-043,PROD-021,Compliance Update,2024-11-07,False
ECN-044,PROD-060,Compliance Update,2025-08-22,False
ECN-045,PROD-064,Design Update,2025-08-10,True
ECN-046,PROD-051,Compliance Update,2024-10-01,False
ECN-047,PROD-028,Cost Reduction,2026-03-02,True
ECN-048,PROD-037,Compliance Update,2024-08-28,True
ECN-049,PROD-084,Compliance Update,2026-05-22,True
ECN-050,PROD-002,Material Change,2024-10-16,True
ECN-051,PROD-034,Cost Reduction,2024-11-18,True
ECN-052,PROD-047,Design Update,2025-11-22,True
ECN-053,PROD-073,Supplier Change,2024-11-24,True
ECN-054,PROD-037,Material Change,2026-03-30,True
ECN-055,PROD-058,Quality Improvement,2026-01-02,False
ECN-056,PROD-080,Material Change,2025-06-15,True
ECN-057,PROD-013,Performance Enhancement,2025-10-29,True
ECN-058,PROD-044,Cost Reduction,2024-09-10,True
ECN-059,PROD-026,Performance Enhancement,2025-05-17,True
ECN-060,PROD-006,Design Update,2025-05-15,True
ECN-061,PROD-043,Compliance Update,2025-10-28,True
